id;code;name;unit;allow_fractional_sale;description
11885;14555;PARAF AUTO BROC 12-14X1.1/2  ECOSEA;Cento;True;PARAF AUTO BROC 12-14X1.1/2  ECOSEA
11899;14574;PARAF ARADO 1/2X2.3/4 C/PO *;Cento;True;PARAF ARADO 1/2X2.3/4 C/PO *
11903;14588;PARAF BROC CHATA PH 4,2X16  ZB;Cento;True;PARAF BROC CHATA PH 4,2X16  ZB
11904;14589;PARAF BROC PANELA PH 4,2X16  ZB;Cento;True;PARAF BROC PANELA PH 4,2X16  ZB
11908;14595;PARAF BROC CHATA PH 4,2X13  ZB;Cento;True;PARAF BROC CHATA PH 4,2X13  ZB
11909;14596;OLHAL SUSP TIPO PARAF 6MM;Cento;True;OLHAL SUSP TIPO PARAF 6MM
11910;14597;OLHAL SUSP TIPO PARAF 8MM;Cento;True;OLHAL SUSP TIPO PARAF 8MM
11911;14598;OLHAL SUSP TIPO PARAF 10MM;Cento;True;OLHAL SUSP TIPO PARAF 10MM
11912;14599;OLHAL SUSP TIPO PARAF 12MM;Cento;True;OLHAL SUSP TIPO PARAF 12MM
11913;14600;OLHAL SUSP TIPO PARAF 16MM;Cento;True;OLHAL SUSP TIPO PARAF 16MM
11914;14603;PARAF MAQ LENT INOX 1/4X3/4;Cento;True;PARAF MAQ LENT INOX 1/4X3/4
11937;14637;PARAF ESTEIRA 5/8X2.1/4;Cento;True;PARAF ESTEIRA 5/8X2.1/4
11938;14638;PARAF ESTEIRA 9/16X2.1/4;Cento;True;PARAF ESTEIRA 9/16X2.1/4
11939;14639;PARAF ESTEIRA 3/4X2.13/32;Cento;True;PARAF ESTEIRA 3/4X2.13/32
11940;14640;PARAF ESTEIRA 3/4X2.5/32;Cento;True;PARAF ESTEIRA 3/4X2.5/32
11941;14641;PARAF ESTEIRA 12.9 20X55;Cento;True;PARAF ESTEIRA 12.9 20X55
11942;14642;PARAF ESTEIRA 5/8X2;Cento;True;PARAF ESTEIRA 5/8X2
11943;14643;PARAF ESTEIRA 3/4X2.1/4;Cento;True;PARAF ESTEIRA 3/4X2.1/4
11944;14644;PARAF ESTEIRA 12.9 18X60;Cento;True;PARAF ESTEIRA 12.9 18X60
11945;14645;PORCA QD 3/4 UNF TRT ESTEIRA;Cento;True;PORCA QD 3/4 UNF TRT ESTEIRA
11946;14646;PORCA QD M18X1,50 TRT ESTEIRA;Cento;True;PORCA QD M18X1,50 TRT ESTEIRA
11947;14647;PORCA QD M20X1,50 TRT ESTEIRA;Cento;True;PORCA QD M20X1,50 TRT ESTEIRA
11948;14648;PORCA SX 1/2 UNF RDA CONICA CH13/16;Cento;True;PORCA SX 1/2 UNF RDA CONICA CH13/16
